step,version_0
49,9.991701126098633
99,9.893865585327148
149,9.757882118225098
199,9.573001861572266
249,9.429227828979492
299,9.330268859863281
349,9.130934715270996
399,9.158443450927734
449,8.944613456726074
499,8.8431396484375
549,8.635320663452148
599,8.610633850097656
649,8.438727378845215
699,8.171194076538086
749,8.13542652130127
799,8.059525489807129
849,7.818957328796387
899,7.707566261291504
949,7.470674514770508
999,7.481602191925049
1049,7.324341773986816
1099,7.492865562438965
1149,7.0647125244140625
1199,7.2377729415893555
1249,6.997779846191406
1299,7.1258544921875
1349,7.0748701095581055
1399,6.7785491943359375
1449,6.852925777435303
1499,6.761899948120117
1549,6.716620445251465
1599,6.417060852050781
1649,6.446255683898926
1699,6.317652702331543
1749,6.145079612731934
1799,6.353392601013184
1849,6.504856109619141
1899,6.373927116394043
1949,6.19148063659668
1999,6.098903179168701
2049,6.30158805847168
2099,6.122162818908691
2149,5.924427032470703
2199,5.841351509094238
2249,5.747524261474609
2299,5.904049873352051
2349,5.641366481781006
2399,5.829885005950928
2449,5.835947513580322
2499,5.7107439041137695
2549,5.504992485046387
2599,5.598884582519531
2649,5.442176342010498
2699,5.630178928375244
2749,5.494277477264404
2799,5.462347984313965
2849,5.442110061645508
2899,5.199440002441406
2949,5.305203437805176
2999,4.96992301940918
3049,5.393886566162109
3099,5.002288818359375
3149,5.398859977722168
3199,5.363224029541016
3249,5.316105365753174
3299,5.051441192626953
3349,5.1149396896362305
3399,5.038442611694336
3449,5.182284355163574
3499,4.861968994140625
3549,4.676575660705566
3599,4.875259876251221
3649,5.181801795959473
3699,5.067563056945801
3749,5.17362117767334
3799,4.869132041931152
3849,5.097131729125977
3899,4.834524154663086
3949,4.745114326477051
3999,4.647987365722656
4049,4.9612884521484375
4099,4.880992889404297
4149,4.857604026794434
4199,5.029037952423096
4249,4.80601692199707
4299,4.724435806274414
4349,4.90551233291626
4399,4.667640209197998
4449,4.801758766174316
4499,4.784604549407959
4549,4.664628028869629
4599,4.689512252807617
4649,4.377110481262207
4699,4.720406532287598
4749,4.545272350311279
4799,4.654889106750488
4849,4.691409111022949
4899,4.3108296394348145
4949,4.557125091552734
4999,4.390564441680908
5049,4.352386474609375
5099,4.643946647644043
5149,4.637702465057373
5199,4.73583459854126
5249,4.410571098327637
5299,4.380633354187012
5349,4.070216655731201
5399,4.498897552490234
5449,4.180850505828857
5499,4.460728168487549
5549,4.329672813415527
5599,4.4710164070129395
5649,4.490829944610596
5699,4.256902694702148
5749,4.392930030822754
5799,4.188055515289307
5849,4.289731979370117
5899,4.021964073181152
5949,4.017911911010742
5999,4.128224849700928
6049,3.989353656768799
6099,4.2283806800842285
6149,4.022727012634277
6199,4.187318801879883
6249,4.1319899559021
6299,4.057461261749268
6349,4.167799949645996
6399,3.867588996887207
6449,4.160172462463379
6499,3.9843740463256836
6549,3.8530006408691406
6599,4.01494836807251
6649,3.7598025798797607
6699,3.8440988063812256
6749,4.1389031410217285
6799,3.9413225650787354
6849,3.742015838623047
6899,3.9643607139587402
6949,3.903602123260498
6999,3.983438491821289
7049,4.409675121307373
7099,3.954759359359741
7149,3.8019652366638184
7199,3.8746414184570312
7249,3.7154757976531982
7299,3.7905991077423096
7349,3.886052131652832
