step,version_0
855,9.119400024414062
1710,7.243645191192627
2565,6.0790839195251465
3420,5.338216781616211
4275,4.810890197753906
5130,4.404895305633545
5985,4.0849151611328125
6840,3.8165390491485596
7695,3.583406448364258
8550,3.379415273666382
9405,3.199329376220703
10260,3.039499521255493
11115,2.8954389095306396
11970,2.7641115188598633
12825,2.644778251647949
13680,2.535893440246582
14535,2.4347012042999268
15390,2.34222149848938
16245,2.256369113922119
17100,2.1758947372436523
17955,2.1016645431518555
18810,2.0324225425720215
19665,1.9679919481277466
20520,1.907296061515808
21375,1.8511979579925537
22230,1.7985789775848389
23085,1.7497034072875977
23940,1.7040082216262817
24795,1.6622306108474731
